id,ingredients,nutrition,ingredients_viewmore,saturated,sugar,sodium,energy,Protein
11,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1870kJ  637kJ Protein 7.6g  2.6g Fat, total 20.2g  6.9g – saturated 5.3g  1.8g Carbohydrate 55.4g  18.8g – sugars 28.5g  9.7g Sodium 100mg  34mg","Nuts (25%) (Peanuts, Macadamias (9%)), Fruit (19%) (Sultanas (Vegetable Oil) Sweetened Dried Cranberries (Sugar, Cranberries (4%), Vegetable Oil)), Cereals (16%) (Rice Pops (Rice Flour, Sugar, Salt, Malt Barley Extract Emulsifier (471)), Multigrain Flakes Rolled Oats), Maltodextrin, Milk Choc Compound (10%) (Sugar, Vegetable Oil, Milk Solids, Cocoa Powder, Emulsifiers (Soy Lecithin, 492, 476), Acid (Citric) Flavour), Glucose (Preservative (223)), Humectant (Glycerol), Sunflower Oil, Sugar, Emulsifiers (471, Soy Lecithin), Flavour, Acid (Citric). 
 View more",5.3g,28.5g,100mg,1870kJ,7.6g
12,null,null,null,null,null,null,null,null
13,"Full Cream Milk, Sugar, Cocoa Butter, Cocoa Mass, Milk Solids, Emulsifiers (Soy Lecithin, 476), Flavours.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2240kJ  381kJ Protein 7.6g  1.3g Fat, total 29.6g  5.0g – saturated 18.7g  3.2g Carbohydrate 58.8g  10.0g – sugars 57.6g  9.8g Sodium 80mg  14mg",null,18.7g,57.6g,80mg,2240kJ,7.6g
14,"Full Cream Milk, Sugar, Gingerbread Biscuit pieces (Sugar, Wheat flour, Butter (From Milk), Invert Sugar, Ground Cinnamon, Raising Agent (500), Ground Cloves, Ground Ginger, Salt), Cocoa Butter, Cocoa Mass, Milk Solids, Emulsifiers (Soy Lecithin, 476), Flavours.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2200kJ  550kJ Protein 7.2g  1.8g Fat, total 28.3g  7.1g – saturated 17.2g  4.3g Carbohydrate 59.7g  14.9g – sugars 54.4g  13.6g Sodium 132  33",null,17.2g,54.4g,132,2200kJ,7.2g
15,null,null,null,null,null,null,null,null
16,"Fruit (56%) (Sultanas, Citrus Peel (Contains Preservative (E223))), Wheat Flour, Sugar, Rice Flour, Vegetable Fibre, Golden Syrup, Sunflower Oil (Contains Soy), Milk Solids, Emulsifier (Soy Lecithin), Salt, Baking Powder, Condensed Milk, Eggs.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1410kJ  423kJ Protein 4.6g  1.4g Fat, total 2.9g  0.9g – saturated 0.7g  0.2g Carbohydrate 69.3g  20.8g – sugars 45.4g  13.6g Sodium 158mg  47mg",null,0.7g,45.4g,158mg,1410kJ,4.6g
17,null,null,null,null,null,null,null,null
18,"Wheat Flour, Butter 33% (Cream (From Milk), Salt), Sugar.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2200kJ  319kJ Protein 5.6g  0.8g Fat, total 27.6g  4.0g – saturated 17.8g  2.6g Carbohydrate 62.7g  9.1g – sugars 19.3g  2.8g Sodium 210mg  31mg",null,17.8g,19.3g,210mg,2200kJ,5.6g
19,"Sugar, Full Cream   Milk   Powder (29%), Vegetable Fat [Emulsifier (  Soy   Lecithin)], Cocoa Butter, Cocoa Mass, Emulsifiers (  Soy   Lecithin, 476), Flavour.         Contains Milk and Soy          May Contain Wheat and Tree Nuts.          Product Contains 60% White Choc and 40% Milk Chocolate.          Milk Chocolate Contains Minimum 22% Cocoa Solids and 25% Milk Solids.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2310kJ  Approx.330kJ Protein Approx.7.7g  Approx.1.1g Fat, total Approx.33.2g  Approx.4.8g – saturated Approx.19.4g  Approx.2.8g Carbohydrate Approx.55.6g  Approx.8.1g – sugars Approx.55.5g  Approx.8g Sodium Approx.75mg  Approx.11mg",null,Approx.19.4g,Approx.55.5g,Approx.75mg,Approx.2310kJ,Approx.7.7g
20,"Wheat Flour, Sugar, Vegetable Oil, Jam (5%) (Sugar, Apples, Glucose, Raspberry Juice, Colour (Carmine), Gelling Agent (Pectin), Food Acids (E330, E331), Flavour), Desiccated Coconut, Salt, Golden Syrup, Honey, Baking Powder, Eggs, Emulsifier (Soy Lecithin), Flavour, Antioxidant (E307b From Soy).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2040kJ  424kJ Protein 3.3g  0.7g Fat, total 22.5g  4.7g – saturated 11.6g  2.4g Carbohydrate 67.0g  13.9g – sugars 36.7g  7.6g Sodium 288mg  60mg",null,11.6g,36.7g,288mg,2040kJ,3.3g
21,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2150kJ  580kJ Protein 7.9g  2.1g Fat, total 26.0g  7.0g – saturated 3.0g  0.8g Carbohydrate 60.0g  16.2g – sugars 2.3g  0.6g Sodium 609mg  164mg","Corn, Canola Oil, Cheese Powder (Milk, Soy), Maltodextrin, Salt, Wheat Flour, Flavour Enhancers (621, 635), Tomato Powder, Onion Powder, Garlic Powder, Natural Flavours (Milk), Dextrose, Yeast Extract, Sugar, Mineral Salt (Potassium Chloride), Food Acids (Lactic Acid, Citric Acid), Colours (110, 150C), Spice (White Pepper), Sunflower Oil, Antioxidants (Tocopherols, Ascorbic Acid, Rosemary Extract). View more",3.0g,2.3g,609mg,2150kJ,7.9g
22,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2000kJ  Approx.330kJ Protein Approx.5.1g  Approx.0.8g Fat, total Approx.18.7g  Approx.3.1g – saturated Approx.11.1g  Approx.1.8g Carbohydrate Approx.71.2g  Approx.11.7g – sugars Approx.65.5g  Approx.10.8g Sodium Approx.43mg  Approx.7mg","Ingredients:    Sugar, Full Cream  M Ilk   Powder, Cocoa Butter, Cocoa Mass, Vegetable Fat [Emulsifier (  Soy   Lecithin)], Emulsifiers (  Soy   Lecithin, 476),   Wheat   Flour, Rice Starch, Colours (Carminic Acid, Beta Carotene, Anthocyanin, Copper Chlorophyllin, Tumeric), Flavour, Glazing Agents (903, 901), Spirulina Powder.           Contains Milk, Soy and Wheat.        Product Contains 62% Milk Chocolate and 38% Crispy Shell      Milk Chocolate Contains Minimum 22% Cocoa Solids and Minimum 25% Milk Solids View more",Approx.11.1g,Approx.65.5g,Approx.43mg,Approx.2000kJ,Approx.5.1g
23,"Wheat flour, sugar, vegetable oil, cocoa powder, glucose syrup, salt, raising agents (500, 503), emulsifier (soy lecithin), flavour, antioxidants (319, 304, 307b).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2020kJ  576kJ Protein 4.7g  1.3g Fat, total 19.6g  5.6g – saturated 11.3g  3.2g Carbohydrate 70.6g  20.1g – sugars 41.9g  11.9g Sodium 554mg  158mg",null,11.3g,41.9g,554mg,2020kJ,4.7g
24,"Glucose Syrup (Wheat Glucose, Preservative (223)), Sugar, Water, Beef Gelatine, Wheat Starch, Acidity Regulators (Malic Acid, Citric Acid), Natural Flavours (Pineapple, Strawberry, Blackcurrant, Orange, Lime), Natural Colours (Curcurmin, Paprika Oleoresins, Anthocyanin), Burnt Sugar, Safflower Extract, Spirulina Extract, Glazing Agents (903).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1400kJ  351kJ Protein 6.7g  1.7g Fat, total 0.1g  <0.1g – saturated 0.1g  <0.1g Carbohydrate 75.6g  18.9g – sugars 50.5g  12.6g Sodium 27mg  7mg",null,0.1g,50.5g,27mg,1400kJ,6.7g
25,"Cane Sugar, Glucose Syrup (From Corn), Maltodextrin (From Corn Or Tapioca), Vegetable Oil, Rice Starch, Stabiliser (Hydroxypropyl Starch), Flavours, Glazing Agent (Carnauba Wax),  Egg  White, Emulsifier ( Soy  Lecithin).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1690kJ  Approx.250kJ Protein <1g  <1g Fat, total Approx.2.3g  Approx.0.3g – saturated Approx.2g  Approx.0.3g Carbohydrate Approx.94.3g  Approx.14.1g – sugars Approx.73g  Approx.11g Sodium Approx.29mg  Approx.4mg",null,Approx.2g,Approx.73g,Approx.29mg,Approx.1690kJ,<1g
26,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2070kJ  518kJ Protein 7.8g  2.0g Fat, total 23.1g  5.8g – saturated 5.4g  1.4g Carbohydrate 62.3g  15.6g – sugars 1.5g  0.4g Sodium 620mg  155mg","Wheat Flour, Vegetable Oil, Starch (Wheat), Tomato Powder, Salt, Cheese (Contains: Milk), Maltodextrin (Maize), Yeast. Milk Solids, Baking Powder, Sugar, Spice, Garlic Powder, Onion Powder, Herb, Natural Flavour, Vegetable Extract (From Maize, Soy), Food Acid (Citric Acid), Food Colours (Turmeric, Paprika Extract), Antioxidants (E300, E307b From Soy, [304), Yeast Extract, Emulsifier (Soy Lecithin). View more",5.4g,1.5g,620mg,2070kJ,7.8g
27,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1970kJ  1030kJ Protein 4.2g  2.2g Fat, total 25.1g  13.0g – saturated 20.0g  10.4g Carbohydrate 55.1g  28.7g – sugars 45.9g  23.8g Sodium 34mg  18mg","Sugar, Coconut (Contains Preservative (223 (Sulphites))), Glace Cherries (Cherries, Wheat Glucose Syrup, Colour (163), Food Acid (330), Sulphites), Glucose Syrup, Cocoa Mass, Sweetened Condensed Milk (Milk, Sugar, Milk Solids), Vegetable Fat, Cocoa Butter, Milk Solids, Cocoa Powder, Gelatine, Invert Sugar, Cornstarch, Tapioca Starch, Emulsifiers (Soy Lecithin, 476), Colours (120, 160c), Flavours, Mineral Salt (500). View more",20.0g,45.9g,34mg,1970kJ,4.2g
28,"Sugar, Flavouring: Liquorice Extract, Menthol. Eucalyptus Oil, Capsicum Tincture, Thickeners: Dextrin, Gum Tragacanth.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1620kJ  19kJ Protein <1g  <1g Fat, total <1g  <1g – saturated <1g  <1g Carbohydrate 94.9g  1.1g – sugars 88.8g  1.0 Sodium <5mg  <5mg",null,<1g,88.8g,<5mg,1620kJ,<1g
29,"Whole Grain Oats 53%, Glucose, Chicory Fibre, Dark Choc Compound 6% (Vegetable Oil, Sugar, Milk Protein, Cocoa Powder, Emulsifier [Sunflower lecithin], Natural Flavour), Seeds 6% (Sunflower Seeds, Linseeds), Golden Syrup, Puffed Rice, Sunflower Oil, Natural Caramel Flavour, Humectant (Glycerin [Plant Derived]).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1590kJ  477kJ Protein 8.9g  2.7g Fat, total 12.2g  3.7 – saturated 3.3g  1.0g Carbohydrate 51.2g  15.4g – sugars 11.1g  3.3g Sodium 43mg  13mg",null,3.3g,11.1g,43mg,1590kJ,8.9g
30,"Rice Flour, Rice Bran Oil. Cheese Powder (contains Milk), Onion Powder, Salt, Acidity Regulator (Lactic Acid), Sugar, Maltodextrin (from Corn), Natural Flavour, Natural Antioxidant (Vitamin E).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1775kJ  355kJ Protein 7.5g  1.5g Fat, total 7.4g  1.5g – saturated 2.3g  0.5g Carbohydrate 80.8g  16.2g – sugars 1.7g  0.3g Sodium 520mg  104mg",null,2.3g,1.7g,520mg,1775kJ,7.5g
31,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx. 1660kJ  Approx. 415kJ Protein Approx. 11.4g  Approx. 2.9g Fat, total Approx. 24.5g  Approx. 6.1g – saturated Approx. 11.8g  Approx. 3g Carbohydrate Approx. 32.5g  Approx. 8.1g – sugars Approx. 5.4g  Approx. 1.4g Sodium Approx. 1100mg  Approx. 275mg","Cheese Dip (Cheddar Cheese (50%) (Milk, Salt, Starter Culture, Non Animal Rennet), Water, Milk Solids, Table Spread (Canola Oil, Palm Oil, Water, Salt, Emulsifiers (471, Soy Lecithin), Preservative (202), Vitamins (A, D), Acidity Regulator (330), Natural Colour (Beta-Carotene), Natural Flavour), Canola Oil, Emulsifiers (452, 339), Natural Flavour, Onion Powder, Salt, Preservatives (202, 234)), Crispbread (Biscuit Flour (Wheat Flour, Minerals (Iron, Zinc), Vitamins (Niacin, Thiamin, Folate, Riboflavin), Wheat Starch, Anti Caking Agent (551)), Wheat Bran, Shortening (Palm Oil, Antioxidants (Soy Lecithin, 307b (Soy), 330)), Sugar, Raising Agents (503, 450, 500, 504), Glucose Syrup (Wheat), Salt, Preservative (223)) View more",Approx. 11.8g,Approx. 5.4g,Approx. 1100mg,Approx. 1660kJ,Approx. 11.4g
32,null,null,null,null,null,null,null,null
33,"Potatoes, Canola Oil, Sunflower Oil, Sugar, Milk Powder, Salt, Mineral Salt (Potassium Chloride), Onion Powder, Maltodextrin, Whey Powder (Milk), Yeast Extract, Cheese Powder (Milk), Natural Flavours (Milk, Soy), Herb (Parsley), Food Acids (Citric Acid, Lactic Acid), Natural Colour (Paprika Extract), Antioxidants (Tocopherols, Ascorbic Acid), Rosemary Extract).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2240kJ  606kJ Protein 6.9g  1.9g Fat, total 33.3g  9.0g – saturated 2.5g  0.7g Carbohydrate 51.3g  13.8g – sugars 3.5g  0.9g Sodium 451mg  122mg",null,2.5g,3.5g,451mg,2240kJ,6.9g
34,null,null,null,null,null,null,null,null
35,null,null,null,null,null,null,null,null
36,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2200kJ  Approx.660kJ Protein Approx.16.8g  Approx.5g Fat, total Approx.31.1g  Approx.9.3g – saturated Approx.7g  Approx.2.1g Carbohydrate Approx.40.1g  Approx.12g – sugars Approx.23.8g  Approx.7.1g Sodium Approx.25mg  Approx.8mg","Roasted Nuts (Peanuts, Almonds), Milk Chocolate (Sugar, Cocoa Butter, Cocoa Mass, Milk Solids, Emulsifier (Soy Lecithin), Natural Flavour), Glucose Syrup, Humectant (Glycerol), Chicory Root Extract, Maltodextrin (from Maize), Sunflower Oil, Natural Flavours (Milk), Emulsifier (Soy Lecithin), Caramelised Sugar Syrup, Contains Roasted Peanuts 50%, Milk Chocolate 23% and Roasted Almonds 5%, Milk Chocolate contains average 30% Cocoa Solids and average 20% Milk Solids View more",Approx.7g,Approx.23.8g,Approx.25mg,Approx.2200kJ,Approx.16.8g
37,"Sugar, Wheat Flour, Shortening (Palm Oil, Antioxidant (307b)), Wheat Starch, Compound Milk Chocolate (Milk, Soy), Natural Colour (150a, 153, 120, 160c), Whey Powder, Cocoa Powder, Invert Sugar Syrup, Emulsifiers (Soy Lecithin, 450), Salt, Golden Syrup, Raising Agents (503, 500), Natural Flavours, Egg, Food Acid (Citric Acid)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1920kJ  Approx.671kJ Protein Approx.5.1g  Approx.1.8g Fat, total Approx.19g  Approx.6.7g – saturated Approx.10.1g  Approx.3.5g Carbohydrate Approx.66.3g  Approx.23.2g – sugars Approx.35g  Approx.12.3g Sodium Approx.238mg  Approx.83mg",null,Approx.10.1g,Approx.35g,Approx.238mg,Approx.1920kJ,Approx.5.1g
38,null,null,null,null,null,null,null,null
39,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1770kJ  350kJ Protein 3.3g  0.7g Fat, total 10.4g  2.1g – saturated 5.4g  1.1g Carbohydrate 77.9g  15.6g – sugars 34.5g  6.9g Sodium 310mg  62mg","White Rice (40%), Glucose, White Choc Chip (12%)(Sugar, Vegetable Fat, Milk Solids, Maltodextrin, Emulsifier [Soy Lecithin], Stabiliser [492], Natural Flavour), Fructose, Sugar, Vegetable Fat (Antioxidant [Tocopherols]), Glucose Solids, Invert Syrup, Humectant (Glycerol), Salt, Gelatin, Natural Flavour, Emulsifiers (Canola Lecithin, 472E, 472A), Barley Malt Extract, Antioxidant (Rosemary Extract), Milk Solids. View more",5.4g,34.5g,310mg,1770kJ,3.3g
40,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1380kJ  Approx.280kJ Protein Approx.4.1g  <1g Fat, total <1g  <1g – saturated <1g  <1g Carbohydrate Approx.77.3g  Approx.15.5g – sugars Approx.58.1g  Approx.11.6g Sodium Approx.140mg  Approx.28mg","Glucose Syrup, Sugar, Gelatine, Food Acids (Citric, Tartaric, Malic, Lactic), Concentrated Fruit Juices (1.2%) (Apple, Orange, Lemon, Mandarin), Fructose, Humectant (Glycerol), Flavours, Fruit and Vegetable Concentrates (Black Carrot, Hibiscus, Carrot, Safflower), Plant Extracts (Spirulina), Colours (Paprika Oleoresin, Carotene), Acidity Regulators (Sodium Ascorbate, Sodium Citrate), Salt, Stabilisers (Carrageenan, Locust Bean Gum), Caramelised Sugar Syrup. View more",<1g,Approx.58.1g,Approx.140mg,Approx.1380kJ,Approx.4.1g
41,"Whole Grain Oats 55%, Glucose, Chicory Fibre, Yoghurt Compound 6% (Sugar, Vegetable Oil, Yoghurt Powder, Milk Solids, Emulsifier [Sunflower Lecithin], Food Acid [330], Natural Custard Flavour [Milk]), Apple 4.5%, Sunflower Oil, Linseeds, Natural Custard Flavour (Milk), Apple Powder 1%, Cinnamon, Humectant (Glycerin [Plant Derived]).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1570kJ  471kJ Protein 7.9g  2.4g Fat, total 10.6g  3.2g – saturated 3.2g  1.0g Carbohydrate 54.7g  16.4g – sugars 11.9g  3.6g Sodium 44mg  13mg",null,3.2g,11.9g,44mg,1570kJ,7.9g
42,"Rice (93%), Maltodextrin (from Corn), Sunflower Oil (Antioxidant (319)), Salt","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1740kJ  Approx.434kJ Protein Approx.8.2g  Approx.2g Fat, total Approx.3.6g  Approx.0.9g – saturated Approx.0.7g  Approx.0.2g Carbohydrate Approx.85.6g  Approx.21.4g – sugars <1g  <1g Sodium Approx.273mg  Approx.69mg",null,Approx.0.7g,<1g,Approx.273mg,Approx.1740kJ,Approx.8.2g
43,"Full Cream Milk, Sugar, Cocoa Butter, Cocoa Mass, Milk Solids, Emulsifiers (Soy Lecithin, 476), Flavours.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2050kJ  512kJ Protein 8.5g  2.1g Fat, total 20.3g  5.1g – saturated 12.6g  3.2g Carbohydrate 67.3g  16.8g – sugars 66.7g  16.7g Sodium 100mg  25mg",null,12.6g,66.7g,100mg,2050kJ,8.5g
44,"Nuts (Peanuts (58%)), Glucose Syrup, Milk Choc Compound (12%) (Sugar, Vegetable Oil, Milk Solids, Cocoa Powder, Emulsifiers (Soy Lecithin, 492), Flavour (Natural)), Puffed Wheat (3.5%), Sunflower Oil, Humectant (Glycerol), Sugar, Salt, Natural Flavour, Emulsifier (Soy Lecithin), Caramelised Sugar.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2260kj  791kj Protein 17.0g  6.0g Fat, total 34.8g  12.2g – saturated 7.4g  2.6g Carbohydrate 35.7g  12.5g – sugars 15.8g  5.5g Sodium 284mg  100mg",null,7.4g,15.8g,284mg,2260kj,17.0g
45,"Wheat Flour, Sugar, Vegetable Oils, Candy Sugar Syrup, Raising Agent (500), Soya Flour, Salt, Cinnamon.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2020kJ  158kJ Protein 4.9g  0.4g Fat, total 19.0g  1.5g – saturated 8.0g  0.6g Carbohydrate 72.6g  5.7g – sugars 38.1g  3.0g Sodium 370mg  30mg",null,8.0g,38.1g,370mg,2020kJ,4.9g
46,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2190kJ  Approx.658kJ Protein Approx.35g  Approx.10.5g Fat, total Approx.31.5g  Approx.9.5g – saturated Approx.5.1g  Approx.1.5g Carbohydrate Approx.22g  Approx.6.6g – sugars Approx.5.6g  Approx.1.7g Sodium Approx.590mg  Approx.177mg","Roasted Mixed Nuts (Peanuts, Almonds, Sunflower Oil), Milk Protein Crisps, Broad Beans (Broad Beans, Rapeseed Oil), Soybeans, Chickpeas (Chickpeas, Rapeseed Oil), Natural BBQ Flavour (4.5%) (Sugar, Salt, Tomato Powder, Spices, Vegetable Powder, Yeast Extract, Natural Flavouring, Natural Colour (Caramel I), Acidity Regulator (Citric Acid), Natural Smoke Flavours), Sunflower Oil View more",Approx.5.1g,Approx.5.6g,Approx.590mg,Approx.2190kJ,Approx.35g
47,"Wheat Flour, Coconut Cream Filling (25%) (Sugar, Shortening, (Palm Oil, Antioxidant (307b)), Desiccated Coconut (contains Preservative (220)), Whey Powder, Natural Flavour, Emulsifier (322 from Soy)), Sugar, Shortening (Palm Oil, Antioxidant (307b)), Wheat Starch, Golden Syrup, Emulsifiers (322 from Soy, 450), Salt, Raising Agents (503, 500)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2070kJ  Approx.289kJ Protein Approx.5.5g  Approx.0.8g Fat, total Approx.20.3g  Approx.2.8g – saturated Approx.9.9g  Approx.1.4g Carbohydrate Approx.71.1g  Approx.10g – sugars Approx.31.8g  Approx.4.5g Sodium Approx.160mg  Approx.22mg",null,Approx.9.9g,Approx.31.8g,Approx.160mg,Approx.2070kJ,Approx.5.5g
48,"MADE OF: SORBITOL, GUM BASE, HUMECTANT (422), FLAVOUR, MANNITOL, XYLITOL, FOOD ACIDS (296,330), EMULSIFIER (322, FROM SOY), SWEETENERS (951,950), COLOUR (129), ANTIOXIDANT (321).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 940kJ  25kJ Protein 0g  0g Fat, total 0g  0g – saturated 0g  0g Carbohydrate 67.3g  1.8g – sugars 0g  0g Sodium 0mg  0mg",null,0g,0g,0mg,940kJ,0g
49,"Sugar, Wheat Glucose Syrup (Wheat Glucose, Preservative (223)), Water, Invert Sugar Syrup, Beef Gelatine, Natural Banana Flavour, Tapioca Starch, Natural Colour (Curcurmin), Processing Aid (Wheat Starch).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1630kJ  408kJ Protein 2.6g  0.6g Fat, total 0.1g  <0.1g – saturated 0.1g  <0.1g Carbohydrate 93.1g  23.3g – sugars 86.8g  21.7g Sodium 7mg  <5mg",null,0.1g,86.8g,7mg,1630kJ,2.6g
50,Dry Roasted Cashew Nuts (100%),"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2540kJ  762kJ Protein 20.8g  6.2g Fat, total 48.7g  14.6g – saturated 8.6g  2.6g Carbohydrate 20.4g  6.1g – sugars 5.9g  1.8g Sodium 7mg  <5mg",null,8.6g,5.9g,7mg,2540kJ,20.8g
